Age,Department,JobRole,Gender,MonthlyIncome,OverTime,JobSatisfaction,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,RiskScore,Attrition,ML_AttritionProbability,ML_PredictedAttrition,RiskTier,RiskFlags,HRRecommendations,InterventionCount
46,Sales,Manager,Female,18947,No,1,2,2,2,3,No,4.4,No,🟡 MEDIUM,LOW_JOB_SATISFACTION | NEW_HIRE_FLIGHT_RISK,💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,2
33,Research & Development,Laboratory Technician,Male,2496,No,4,3,1,0,2,No,10.23,No,🟡 MEDIUM,LOW_SALARY | BELOW_AVG_HIKE | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,3
44,Research & Development,Healthcare Representative,Male,6465,Yes,4,4,4,1,2,No,5.3,No,🟢 LOW,OVERTIME_STRESS,⏱️  Audit workload distribution; enforce overtime caps and offer comp time.,1
30,Research & Development,Laboratory Technician,Male,2206,No,3,3,10,1,1,No,7.77,No,🟡 MEDIUM,LOW_SALARY | POOR_RELATIONSHIPS,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🤝 Facilitate team-building activities and peer mentoring programs.,2
39,Sales,Sales Representative,Male,2086,No,4,4,1,0,2,Yes,82.75,Yes,🔴 CRITICAL,LOW_SALARY | NEW_HIRE_FLIGHT_RISK | ML_HIGH_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,3
24,Research & Development,Research Scientist,Male,2293,Yes,4,2,2,2,4,Yes,91.7,Yes,🔴 CRITICAL,LOW_SALARY | OVERTIME_STRESS | POOR_RELATIONSHIPS | NEW_HIRE_FLIGHT_RISK | ML_HIGH_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🤝 Facilitate team-building activities and peer mentoring programs. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,5
43,Research & Development,Research Scientist,Female,2645,No,3,2,5,1,1,No,1.61,No,🟢 LOW,LOW_SALARY,💰 Conduct immediate salary benchmarking and adjust compensation to market rate.,1
50,Sales,Sales Representative,Male,2683,Yes,3,3,3,0,3,Yes,78.29,Yes,🔴 CRITICAL,LOW_SALARY | OVERTIME_STRESS | POOR_ENVIRONMENT | ML_HIGH_RISK,"💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🚨 AI model flags very high attrition probability — escalate to CHRO.",4
35,Sales,Sales Representative,Female,2014,No,4,3,2,2,2,No,9.51,No,🟡 MEDIUM,LOW_SALARY | POOR_RELATIONSHIPS | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🤝 Facilitate team-building activities and peer mentoring programs. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,3
36,Research & Development,Research Scientist,Female,3419,Yes,1,4,1,0,5,No,19.74,No,🟠 HIGH,OVERTIME_STRESS | LOW_JOB_SATISFACTION | NEW_HIRE_FLIGHT_RISK | HIGH_JOB_HOPPER,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,4
33,Sales,Sales Executive,Female,5376,No,1,3,5,1,2,No,3.24,No,🟡 MEDIUM,LOW_JOB_SATISFACTION | POOR_RELATIONSHIPS,💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🤝 Facilitate team-building activities and peer mentoring programs.,2
35,Research & Development,Laboratory Technician,Male,1951,No,4,3,1,0,2,No,15.44,No,🟡 MEDIUM,LOW_SALARY | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,2
27,Research & Development,Laboratory Technician,Female,2341,No,1,3,1,0,4,No,27.93,No,🟡 MEDIUM,LOW_SALARY | LOW_JOB_SATISFACTION | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,3
26,Research & Development,Laboratory Technician,Male,2293,No,3,2,1,0,2,Yes,92.07,Yes,🔴 CRITICAL,LOW_SALARY | POOR_ENVIRONMENT | LOW_INVOLVEMENT | NEW_HIRE_FLIGHT_RISK | ML_HIGH_RISK,"💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🎯 Re-align role responsibilities; consider lateral move to a higher-impact project. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🚨 AI model flags very high attrition probability — escalate to CHRO.",5
27,Sales,Sales Executive,Male,8726,No,3,3,9,1,0,No,4.71,No,🟢 LOW,NO_TRAINING,📚 Immediately enroll in skill-development programs; assign a learning budget.,1
30,Research & Development,Laboratory Technician,Female,4011,No,4,3,12,3,0,No,4.57,No,🟢 LOW,NONE,No immediate action required.,0
41,Research & Development,Research Director,Female,19545,No,3,3,22,15,1,Yes,62.34,Yes,🟠 HIGH,STAGNANT_CAREER | NO_TRAINING | ML_MEDIUM_RISK,🚀 Create an individual development plan (IDP) and fast-track promotion review. | 📚 Immediately enroll in skill-development programs; assign a learning budget. | ⚠️  AI model flags moderate attrition probability — place on HR watch list.,3
34,Sales,Sales Executive,Male,4568,No,3,3,9,8,1,No,5.82,No,🟢 LOW,STAGNANT_CAREER,🚀 Create an individual development plan (IDP) and fast-track promotion review.,1
37,Research & Development,Research Scientist,Male,3022,No,2,3,1,0,3,No,17.01,No,🟡 MEDIUM,POOR_RELATIONSHIPS | NEW_HIRE_FLIGHT_RISK,🤝 Facilitate team-building activities and peer mentoring programs. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,2
46,Sales,Sales Executive,Male,5772,Yes,4,3,9,0,2,No,14.23,No,🟡 MEDIUM,OVERTIME_STRESS | POOR_ENVIRONMENT,"⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys.",2
35,Research & Development,Laboratory Technician,Male,2269,No,4,3,1,0,2,No,13.41,No,🟡 MEDIUM,LOW_SALARY | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,2
48,Research & Development,Laboratory Technician,Male,5381,Yes,3,3,1,0,3,Yes,80.79,Yes,🔴 CRITICAL,OVERTIME_STRESS | POOR_ENVIRONMENT | NEW_HIRE_FLIGHT_RISK | HIGH_JOB_HOPPER | ML_HIGH_RISK,"⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🔗 Offer retention bonus tied to 2-year tenure milestone. | 🚨 AI model flags very high attrition probability — escalate to CHRO.",5
28,Research & Development,Laboratory Technician,Male,3441,Yes,3,2,2,2,3,Yes,88.99,Yes,🔴 CRITICAL,OVERTIME_STRESS | NEW_HIRE_FLIGHT_RISK | ML_HIGH_RISK,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,3
44,Sales,Sales Executive,Female,5454,Yes,1,2,4,1,4,No,6.74,No,🟡 MEDIUM,OVERTIME_STRESS | LOW_JOB_SATISFACTION | HIGH_JOB_HOPPER,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,3
35,Research & Development,Healthcare Representative,Male,9884,Yes,1,3,4,2,4,No,9.11,No,🟡 MEDIUM,OVERTIME_STRESS | LOW_JOB_SATISFACTION,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers.,2
26,Sales,Sales Executive,Female,4157,Yes,4,2,2,0,3,No,14.99,No,🟡 MEDIUM,OVERTIME_STRESS | NEW_HIRE_FLIGHT_RISK | HIGH_JOB_HOPPER,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,3
33,Research & Development,Research Director,Female,13458,Yes,4,3,15,8,3,No,10.0,No,🟡 MEDIUM,OVERTIME_STRESS | POOR_ENVIRONMENT | STAGNANT_CAREER,"⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.",3
35,Sales,Sales Executive,Male,9069,No,1,2,9,1,2,No,3.78,No,🟢 LOW,LOW_JOB_SATISFACTION,💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers.,1
35,Research & Development,Laboratory Technician,Female,4014,Yes,1,3,2,2,5,No,14.23,No,🟡 MEDIUM,OVERTIME_STRESS | LOW_JOB_SATISFACTION | NEW_HIRE_FLIGHT_RISK,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,3
31,Research & Development,Laboratory Technician,Male,5915,No,4,2,7,1,0,No,1.76,No,🟢 LOW,NONE,No immediate action required.,0
37,Research & Development,Manufacturing Director,Male,5993,No,3,4,7,0,0,No,2.47,No,🟢 LOW,POOR_ENVIRONMENT,"🏢 Review team dynamics, physical workspace, and DEI climate surveys.",1
32,Research & Development,Manufacturing Director,Male,6162,Yes,4,3,9,7,3,No,6.31,No,🟡 MEDIUM,OVERTIME_STRESS | POOR_ENVIRONMENT | STAGNANT_CAREER,"⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.",3
38,Research & Development,Laboratory Technician,Female,2406,No,4,3,10,9,2,No,8.86,No,🟡 MEDIUM,LOW_SALARY | BELOW_AVG_HIKE | STAGNANT_CAREER,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.,3
50,Research & Development,Research Director,Female,18740,Yes,3,2,27,13,3,No,4.5,No,🟡 MEDIUM,OVERTIME_STRESS | STAGNANT_CAREER | HIGH_JOB_HOPPER,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🚀 Create an individual development plan (IDP) and fast-track promotion review. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,3
59,Sales,Sales Executive,Female,7637,No,1,2,21,7,3,No,12.98,No,🟠 HIGH,BELOW_AVG_HIKE | LOW_JOB_SATISFACTION | POOR_ENVIRONMENT | STAGNANT_CAREER | HIGH_JOB_HOPPER,"📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🚀 Create an individual development plan (IDP) and fast-track promotion review. | 🔗 Offer retention bonus tied to 2-year tenure milestone.",5
36,Research & Development,Healthcare Representative,Female,10096,No,3,3,17,12,1,No,4.26,No,🟢 LOW,STAGNANT_CAREER,🚀 Create an individual development plan (IDP) and fast-track promotion review.,1
55,Research & Development,Manager,Female,14756,Yes,3,3,5,0,2,No,6.11,No,🟢 LOW,OVERTIME_STRESS,⏱️  Audit workload distribution; enforce overtime caps and offer comp time.,1
36,Research & Development,Manufacturing Director,Male,6499,No,2,3,6,0,2,No,4.99,No,🟢 LOW,NONE,No immediate action required.,0
45,Research & Development,Research Scientist,Male,9724,No,1,3,1,0,3,No,8.02,No,🟡 MEDIUM,LOW_JOB_SATISFACTION | NEW_HIRE_FLIGHT_RISK,💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,2
35,Research & Development,Research Scientist,Male,2194,No,1,2,3,1,3,No,7.83,No,🟡 MEDIUM,LOW_SALARY | LOW_JOB_SATISFACTION,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers.,2
36,Research & Development,Research Scientist,Male,3388,Yes,3,2,1,0,3,Yes,78.9,Yes,🔴 CRITICAL,OVERTIME_STRESS | POOR_RELATIONSHIPS | NO_TRAINING | NEW_HIRE_FLIGHT_RISK | ML_HIGH_RISK,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🤝 Facilitate team-building activities and peer mentoring programs. | 📚 Immediately enroll in skill-development programs; assign a learning budget. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,5
59,Sales,Sales Executive,Female,5473,No,3,2,4,1,0,No,12.19,No,🟡 MEDIUM,BELOW_AVG_HIKE | POOR_ENVIRONMENT | HIGH_JOB_HOPPER,"📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🔗 Offer retention bonus tied to 2-year tenure milestone.",3
29,Research & Development,Research Scientist,Male,2703,No,2,3,5,0,3,No,0.98,No,🟢 LOW,LOW_SALARY,💰 Conduct immediate salary benchmarking and adjust compensation to market rate.,1
31,Research & Development,Research Scientist,Male,2501,No,2,3,1,1,4,No,21.62,No,🟡 MEDIUM,LOW_SALARY | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,2
32,Research & Development,Research Scientist,Male,6220,No,2,3,10,0,2,No,1.46,No,🟢 LOW,NONE,No immediate action required.,0
36,Research & Development,Laboratory Technician,Female,3038,No,4,3,1,0,1,No,5.47,No,🟢 LOW,NEW_HIRE_FLIGHT_RISK,🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,1
31,Research & Development,Manufacturing Director,Female,4424,No,4,3,11,1,0,No,4.41,No,🟢 LOW,NONE,No immediate action required.,0
35,Sales,Sales Executive,Male,4312,No,1,3,15,2,2,No,4.5,No,🟢 LOW,LOW_JOB_SATISFACTION,💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers.,1
45,Research & Development,Research Director,Male,13245,Yes,1,4,0,0,5,No,13.78,No,🟡 MEDIUM,OVERTIME_STRESS | LOW_JOB_SATISFACTION | NEW_HIRE_FLIGHT_RISK,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,3
37,Research & Development,Research Director,Male,13664,No,3,4,5,0,0,No,4.1,No,🟡 MEDIUM,POOR_ENVIRONMENT | POOR_RELATIONSHIPS,"🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🤝 Facilitate team-building activities and peer mentoring programs.",2
46,Human Resources,Human Resources,Male,5021,Yes,2,3,4,0,4,No,10.44,No,🟡 MEDIUM,OVERTIME_STRESS | HIGH_JOB_HOPPER,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,2
30,Research & Development,Laboratory Technician,Male,5126,Yes,4,2,10,3,2,No,8.69,No,🟢 LOW,OVERTIME_STRESS,⏱️  Audit workload distribution; enforce overtime caps and offer comp time.,1
35,Research & Development,Research Scientist,Male,2859,No,3,3,6,0,1,No,4.08,No,🟡 MEDIUM,LOW_SALARY | POOR_RELATIONSHIPS,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🤝 Facilitate team-building activities and peer mentoring programs.,2
55,Sales,Sales Executive,Male,10239,No,4,3,1,1,1,No,8.69,No,🟡 MEDIUM,POOR_ENVIRONMENT | NEW_HIRE_FLIGHT_RISK,"🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.",2
38,Research & Development,Research Scientist,Female,5329,Yes,4,3,13,1,2,No,5.56,No,🟡 MEDIUM,OVERTIME_STRESS | LOW_INVOLVEMENT | HIGH_JOB_HOPPER,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🎯 Re-align role responsibilities; consider lateral move to a higher-impact project. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,3
34,Research & Development,Manufacturing Director,Male,4325,No,2,3,5,1,2,No,4.26,No,🟢 LOW,POOR_ENVIRONMENT,"🏢 Review team dynamics, physical workspace, and DEI climate surveys.",1
